9	72	27	50	34	90	64	25	82	83	55	78	51	48	78	65	1	53	61	89	59	92	26	59	1	2	70	43	55	99	59	85	9	52	59	90	2	94	87	99	91	96	76	1	14	24	97	99	33	85	45	61	76	100	75	56	4	23	99	62	44	42	87	7	51	97	4	6	68	62	40	28	43	32	67	53	92	28	71	69	65	85	11	28	46	47	98	20	97	27	98	91	67	78	32	59	91	22	81	63
100	14	57	83	1	68	3	65	62	38	15	9	38	30	83	92	60	15	52	64	38	54	35	42	84	26	63	18	59	88	80	59	88	87	72	81	51	37	86	80	11	80	96	57	18	58	5	49	11	19	8	16	14	24	9	10	7	66	96	16	65	55	98	5	13	36	61	63	61	79	66	30	61	37	66	75	77	26	88	35	96	97	64	75	47	74	4	37	37	68	73	38	65	50	46	92	20	33	86	69
59	57	5	69	89	49	95	8	70	82	24	50	41	51	36	92	50	82	55	12	45	13	84	73	62	3	80	88	77	85	49	81	16	33	49	41	28	64	97	67	70	51	98	76	35	58	55	70	83	98	39	8	60	46	21	55	84	3	99	74	26	9	69	99	27	49	26	39	19	22	84	99	51	90	93	19	37	66	7	61	6	75	90	80	73	49	8	95	7	29	89	9	71	99	62	15	34	66	28	54
47	2	55	55	73	93	11	39	34	25	76	56	74	46	23	72	68	68	24	51	1	2	75	16	68	69	63	39	5	36	54	98	59	79	43	32	77	98	90	88	6	33	16	49	82	53	2	27	57	38	10	64	14	58	11	99	2	97	75	10	86	57	17	47	16	41	96	10	99	42	79	13	27	43	71	29	51	46	37	22	36	38	70	100	26	22	29	71	58	12	56	58	4	43	75	17	40	49	3	4
57	22	3	11	26	76	82	89	3	46	24	18	65	61	81	21	21	31	88	23	93	93	55	29	40	20	29	90	11	28	36	89	17	29	74	97	4	4	80	46	38	66	93	16	93	26	31	10	89	59	18	90	20	68	27	37	22	39	65	51	87	50	93	12	25	81	2	51	86	15	77	95	97	62	24	40	81	28	84	50	53	89	55	86	32	56	50	88	74	86	87	86	6	53	75	61	52	73	17	43
7	87	97	85	33	78	100	8	88	80	95	93	49	30	75	26	9	74	9	89	10	100	83	72	7	36	71	13	30	83	92	65	10	35	66	78	69	50	82	65	35	98	38	42	100	68	93	44	16	14	85	66	83	50	74	29	67	85	15	44	52	43	66	61	16	98	75	21	25	70	44	68	3	91	20	21	13	9	49	82	60	96	75	10	33	62	43	82	64	14	21	16	94	41	28	90	65	15	92	67
100	99	50	18	23	16	92	12	16	57	12	73	83	32	32	6	25	48	76	86	92	81	40	62	47	99	48	6	85	2	94	32	71	31	74	8	31	50	35	64	95	100	5	80	94	18	85	85	65	34	6	10	64	8	39	6	60	92	71	23	92	68	92	32	81	36	83	2	74	78	96	52	45	86	32	100	72	2	72	30	10	49	28	19	41	29	19	90	50	3	62	25	59	96	82	67	23	29	93	25
72	94	18	34	18	64	78	79	98	100	100	47	65	53	34	37	58	46	71	91	87	74	50	94	4	96	80	80	17	8	32	64	98	77	28	43	17	34	12	16	10	9	57	59	22	62	54	15	52	24	23	50	67	65	100	64	76	85	87	82	84	96	79	71	67	22	46	79	91	76	41	90	48	21	73	67	70	59	14	84	36	87	80	53	62	25	43	42	3	33	55	17	47	39	20	31	31	35	36	61
91	37	82	8	74	23	30	37	8	54	67	78	65	59	51	35	60	18	23	23	8	64	31	58	37	68	80	91	69	27	49	34	48	71	64	13	1	74	84	65	89	5	60	56	50	91	20	62	97	37	34	49	84	67	72	64	54	48	75	87	66	83	18	98	42	20	21	2	4	32	92	19	70	52	82	2	34	80	19	44	39	80	99	98	52	60	56	61	76	4	69	53	60	65	84	41	89	86	24	95
41	94	55	10	14	13	68	55	37	65	76	19	85	88	35	4	47	96	24	48	36	56	44	50	92	11	78	14	99	50	52	63	69	3	10	8	94	59	94	10	20	13	67	25	77	18	47	79	42	98	12	7	42	76	74	61	66	1	94	27	77	61	41	15	16	29	64	86	61	84	14	42	58	56	81	75	92	62	15	39	95	42	39	93	86	10	8	24	72	26	46	21	26	9	71	67	35	62	58	90
66	50	28	17	78	30	75	75	86	95	23	56	83	38	17	6	35	56	62	82	21	68	17	45	28	14	75	67	22	7	78	18	28	18	85	90	23	95	14	74	81	37	21	81	96	36	96	54	34	49	82	43	31	96	96	35	59	5	59	81	62	48	66	92	77	76	9	57	44	27	98	76	93	30	42	2	4	30	4	55	82	89	87	5	94	47	22	55	11	95	77	5	94	50	37	50	7	8	37	89
