240481	216938	193596	251225	224316	203412	233421	222392	249086	225115	219788	239207	243223	222640	187712	230711	216518	240891	251103	239055	221328	257483	230985	220416	244910	211204	227769	248677	223283	216477	248999	243811	229325	219886	220525	218391	215881	236146	233152	217202	223036	231351	218554	195802	207373	217761	211462	214067	224383	213063	204177	213776	251057	222723	213104	203277	199745	239721	237479	203395	225270	208149	282023	232266	207875	208149	239541	222293	255623	222947	225555	241358	226108	190959	216381	200578	223292	225175	207697	217460	230313	222516	235043	251317	236713	232681	226723	235509	238979	237576	232516	224950	218004	228834	223186	197010	228007	228774	233578	238300	
274026	265984	238275	299667	262045	237475	275200	255505	297410	274775	281346	275299	270117	268767	237657	240296	238879	282967	272308	272664	243077	312363	255797	256730	276729	245930	252478	275014	259490	270617	294580	275941	255220	263039	251146	272094	257501	280021	282313	258123	246369	270712	247703	225719	261193	261224	240427	245263	253258	243208	264770	273388	276903	267299	270328	242439	255296	281642	245530	255582	258213	253364	293817	267011	249058	257676	282811	272932	280223	275116	255121	280202	260010	229118	264500	257692	263338	264511	220335	253608	265761	229519	265834	279987	295774	289626	255190	267974	262770	248827	265618	246818	259559	251638	250748	221736	283382	284995	275863	294306	
319232	296288	247455	331820	298963	259913	304677	294275	326638	322009	305860	298288	296099	310443	239660	282591	265545	315848	314721	288841	288517	335927	286403	278424	303678	272098	277918	320116	275810	287767	326386	313132	295626	279426	275378	301439	273864	309403	317501	280541	258425	303453	290645	249701	294485	283240	276805	278170	279616	292486	294686	310302	304341	294767	286533	272486	259860	315122	289043	298460	288801	280928	326215	303548	278522	289237	298378	304778	307277	297841	295553	327217	303555	250347	288379	272245	298796	299811	248808	288452	281153	264312	293416	320256	316153	299990	300891	298425	291058	289643	295407	279632	279811	280951	279911	228079	307498	322523	303954	305847	
252659	249803	217751	272769	229658	226229	245990	259274	291631	267617	270455	267770	270058	259177	229885	263727	222637	274414	273121	258704	232144	285899	267864	232395	252558	233629	241471	267793	236411	238281	270574	262328	245005	245124	250367	257379	243691	258022	260430	242643	233868	261514	238978	223404	241436	242271	248128	222811	246549	247310	259002	256298	265741	246572	247677	237825	254724	277962	242295	252142	237729	238326	296877	252027	234784	242742	270574	266258	257566	251250	248880	284516	255147	229582	258857	224756	256436	238338	215667	259661	242568	250889	252373	274289	265261	254779	244163	269689	250052	253343	260782	232171	268947	252951	242415	211854	265075	266840	238031	259776	
248888	245939	207776	269483	225415	224138	252053	232512	273202	271694	247665	258527	249094	254084	224916	237944	221633	263631	258930	259874	245109	284622	242267	263082	262632	222304	241256	258839	233637	246772	272958	268126	247611	244307	234244	259748	227177	252237	271070	243275	226032	269511	248763	216618	254746	228480	227475	226831	247966	221578	232462	252515	246010	252858	242400	222008	230315	251036	251712	238218	267536	245192	295972	254851	227853	231266	260356	248999	244940	251520	233502	281689	262377	214023	248306	245500	240393	249958	210715	235578	252013	244598	250269	263497	267983	254414	242148	274092	235634	234423	275171	239373	234964	243325	249903	218324	259360	252732	249362	262151	
261572	231572	217674	271716	254825	203536	244399	221396	276880	253397	238527	250103	257711	250114	222899	234637	219612	260615	244337	242491	246214	286287	249810	234096	249486	222333	236383	258146	231582	240041	275663	260336	225075	238615	211784	239499	246946	265463	261946	234655	219286	245451	240371	216415	252659	262930	229409	225757	244327	218200	230375	236819	249051	246506	236887	214351	222210	273035	250082	239638	240468	227613	286102	260744	228901	226831	268595	250221	251532	252418	252862	252260	244239	222029	239981	233005	252457	243005	196440	215688	246855	216394	243782	252324	259457	260506	231093	251137	238275	236777	247050	233441	236565	235972	241502	206153	273661	254867	245859	251953	
284136	256309	225934	283894	255665	238763	249905	229698	298884	252275	249524	259514	274637	251298	201656	248550	237532	270381	283903	257100	240250	284845	257764	242529	274384	243578	253414	268361	239726	258423	282932	270608	247931	254156	238455	273933	255841	264778	269256	255643	243342	270595	225337	220852	267966	256652	240825	233898	240492	221136	245065	250775	264989	239075	246433	207062	220583	270266	249667	232952	248546	246593	299832	263895	248177	239551	263714	266022	258252	240874	235787	273843	246717	228962	256433	234848	248556	246110	218464	228923	255312	238678	248448	257606	271108	265738	245445	263056	250674	249555	267485	232379	256868	243609	252851	206110	270392	261608	258068	267375	
280598	266070	242350	291366	233373	240610	263465	259381	289364	294653	246018	258413	264662	260655	247482	260032	246719	271640	273747	284009	239255	295387	262796	250390	263445	264398	260821	273550	236332	269575	301969	270249	244555	275044	260775	275217	254943	284913	288034	260343	242192	274523	242577	227155	274526	267973	243155	250537	245715	242060	262522	268907	264830	260106	261859	238157	248062	273025	241728	258903	276599	245826	287587	280491	265598	270641	276767	256075	273502	278623	250607	275552	259101	235800	264683	268215	265848	255832	218101	253029	266615	241527	261494	277650	270877	281520	252495	253743	253970	252575	259144	234820	242224	248713	243496	235291	275280	273989	265699	278877	
280762	259859	243587	288916	257922	224990	261607	256235	297992	304356	259425	296616	275422	294942	249989	246192	250836	284806	259134	261845	255135	318538	251354	261227	282805	256384	261997	279378	265948	270845	317003	274413	281898	261203	251792	267988	249328	291391	286497	269358	218996	276954	251479	255365	281339	266678	250222	241482	272263	250693	270246	293443	265568	259213	263756	234855	246037	300014	245930	272713	277839	248444	298401	276546	249779	250495	300694	269940	263364	288125	263623	294705	283100	255293	263075	266662	269544	256241	230964	260948	263739	257036	276627	272259	294449	276022	261701	283913	258389	256877	269042	257637	258248	268114	255677	224229	282078	275201	281600	284506	
245000	236150	202605	263626	219434	208106	244415	223057	265883	258943	245056	253491	248978	233167	218572	232230	206636	251314	263103	238404	219973	264318	229357	229242	225004	233868	238699	265241	219902	230381	263616	251242	238318	219892	223784	236848	232790	257050	229447	232270	228971	263087	219172	212669	227304	227894	242386	237999	228911	228842	235398	244349	259547	228096	232958	216043	223453	253480	220051	234119	238526	215003	283001	235210	230499	226344	249040	224877	247950	242751	234177	260372	241432	211751	239400	227079	241383	225259	217090	247379	223031	230819	236634	255930	242761	246422	254928	242161	244364	236704	240065	211066	245613	246641	225738	195723	237148	231139	248312	256666	
